Temp = None ◦ C, Humidity = None %, Pressure = 909 hPa.
Temp = 17 ◦ C, Humidity = None %, Pressure = 909 hPa.
Temp = 17 ◦ C, Humidity = 91 %, Pressure = 909 hPa.
Temp = 39 ◦ C, Humidity = 91 %, Pressure = 909 hPa.
Temp = 40 ◦ C, Humidity = 91 %, Pressure = 909 hPa.
Temp = 40 ◦ C, Humidity = 92 %, Pressure = 909 hPa.
Temp = 40 ◦ C, Humidity = 92 %, Pressure = 929 hPa.
Temp = 38 ◦ C, Humidity = 92 %, Pressure = 929 hPa.
Temp = 20 ◦ C, Humidity = 92 %, Pressure = 929 hPa.
Temp = 20 ◦ C, Humidity = 40 %, Pressure = 929 hPa.
Temp = 28 ◦ C, Humidity = 40 %, Pressure = 929 hPa.
Temp = 28 ◦ C, Humidity = 40 %, Pressure = 1044 hPa.
Temp = 37 ◦ C, Humidity = 40 %, Pressure = 1044 hPa.
Temp = 37 ◦ C, Humidity = 33 %, Pressure = 1044 hPa.
Temp = 25 ◦ C, Humidity = 33 %, Pressure = 1044 hPa.
Temp = 37 ◦ C, Humidity = 33 %, Pressure = 1044 hPa.
Temp = 37 ◦ C, Humidity = 55 %, Pressure = 1044 hPa.
Temp = 37 ◦ C, Humidity = 55 %, Pressure = 977 hPa.
Temp = 24 ◦ C, Humidity = 55 %, Pressure = 977 hPa.
Temp = 24 ◦ C, Humidity = 55 %, Pressure = 977 hPa.
Temp = 24 ◦ C, Humidity = 81 %, Pressure = 977 hPa.
Temp = 31 ◦ C, Humidity = 81 %, Pressure = 977 hPa.
Temp = 31 ◦ C, Humidity = 81 %, Pressure = 1053 hPa.
Temp = 25 ◦ C, Humidity = 81 %, Pressure = 1053 hPa.
Temp = 25 ◦ C, Humidity = 99 %, Pressure = 1053 hPa.
Temp = 18 ◦ C, Humidity = 99 %, Pressure = 1053 hPa.
Temp = 31 ◦ C, Humidity = 99 %, Pressure = 1053 hPa.
Temp = 31 ◦ C, Humidity = 90 %, Pressure = 1053 hPa.
Temp = 31 ◦ C, Humidity = 90 %, Pressure = 926 hPa.
Temp = 15 ◦ C, Humidity = 90 %, Pressure = 926 hPa.
Temp = 34 ◦ C, Humidity = 90 %, Pressure = 926 hPa.
Temp = 34 ◦ C, Humidity = 57 %, Pressure = 926 hPa.
Temp = 32 ◦ C, Humidity = 57 %, Pressure = 926 hPa.
Temp = 32 ◦ C, Humidity = 57 %, Pressure = 1062 hPa.
Temp = 39 ◦ C, Humidity = 57 %, Pressure = 1062 hPa.
Temp = 39 ◦ C, Humidity = 82 %, Pressure = 1062 hPa.
Temp = 35 ◦ C, Humidity = 82 %, Pressure = 1062 hPa.
Temp = 26 ◦ C, Humidity = 82 %, Pressure = 1062 hPa.
Temp = 26 ◦ C, Humidity = 74 %, Pressure = 1062 hPa.
Temp = 26 ◦ C, Humidity = 74 %, Pressure = 1061 hPa.
Temp = 20 ◦ C, Humidity = 74 %, Pressure = 1061 hPa.
Temp = 36 ◦ C, Humidity = 74 %, Pressure = 1061 hPa.
Temp = 36 ◦ C, Humidity = 49 %, Pressure = 1061 hPa.
Temp = 30 ◦ C, Humidity = 49 %, Pressure = 1061 hPa.
Temp = 30 ◦ C, Humidity = 49 %, Pressure = 1094 hPa.
Temp = 30 ◦ C, Humidity = 49 %, Pressure = 1094 hPa.
Temp = 30 ◦ C, Humidity = 41 %, Pressure = 1094 hPa.
Temp = 40 ◦ C, Humidity = 41 %, Pressure = 1094 hPa.
Temp = 30 ◦ C, Humidity = 41 %, Pressure = 1094 hPa.
Temp = 30 ◦ C, Humidity = 71 %, Pressure = 1094 hPa.
Temp = 30 ◦ C, Humidity = 71 %, Pressure = 1074 hPa.
Temp = 21 ◦ C, Humidity = 71 %, Pressure = 1074 hPa.
Temp = 15 ◦ C, Humidity = 71 %, Pressure = 1074 hPa.
Temp = 15 ◦ C, Humidity = 89 %, Pressure = 1074 hPa.
Temp = 35 ◦ C, Humidity = 89 %, Pressure = 1074 hPa.
Temp = 35 ◦ C, Humidity = 89 %, Pressure = 1058 hPa.
Temp = 35 ◦ C, Humidity = 89 %, Pressure = 1058 hPa.
Temp = 35 ◦ C, Humidity = 97 %, Pressure = 1058 hPa.
Temp = 34 ◦ C, Humidity = 97 %, Pressure = 1058 hPa.
Temp = 26 ◦ C, Humidity = 97 %, Pressure = 1058 hPa.
Temp = 26 ◦ C, Humidity = 73 %, Pressure = 1058 hPa.
Temp = 26 ◦ C, Humidity = 73 %, Pressure = 937 hPa.
Temp = 20 ◦ C, Humidity = 73 %, Pressure = 937 hPa.
Temp = 15 ◦ C, Humidity = 73 %, Pressure = 937 hPa.
Temp = 15 ◦ C, Humidity = 78 %, Pressure = 937 hPa.
Temp = 19 ◦ C, Humidity = 78 %, Pressure = 937 hPa.
Temp = 19 ◦ C, Humidity = 78 %, Pressure = 976 hPa.
Temp = 21 ◦ C, Humidity = 78 %, Pressure = 976 hPa.
Temp = 21 ◦ C, Humidity = 28 %, Pressure = 976 hPa.
Temp = 17 ◦ C, Humidity = 28 %, Pressure = 976 hPa.
Temp = 27 ◦ C, Humidity = 28 %, Pressure = 976 hPa.
Temp = 27 ◦ C, Humidity = 47 %, Pressure = 976 hPa.
Temp = 27 ◦ C, Humidity = 47 %, Pressure = 949 hPa.
Temp = 33 ◦ C, Humidity = 47 %, Pressure = 949 hPa.
Temp = 22 ◦ C, Humidity = 47 %, Pressure = 949 hPa.
Temp = 22 ◦ C, Humidity = 36 %, Pressure = 949 hPa.
Temp = 18 ◦ C, Humidity = 36 %, Pressure = 949 hPa.
Temp = 18 ◦ C, Humidity = 36 %, Pressure = 1001 hPa.
Temp = 27 ◦ C, Humidity = 36 %, Pressure = 1001 hPa.
Temp = 27 ◦ C, Humidity = 87 %, Pressure = 1001 hPa.
Temp = 19 ◦ C, Humidity = 87 %, Pressure = 1001 hPa.
Temp = 16 ◦ C, Humidity = 87 %, Pressure = 1001 hPa.
Temp = 16 ◦ C, Humidity = 92 %, Pressure = 1001 hPa.
Temp = 16 ◦ C, Humidity = 92 %, Pressure = 1087 hPa.
Temp = 36 ◦ C, Humidity = 92 %, Pressure = 1087 hPa.
Temp = 37 ◦ C, Humidity = 92 %, Pressure = 1087 hPa.
Temp = 37 ◦ C, Humidity = 87 %, Pressure = 1087 hPa.
Temp = 31 ◦ C, Humidity = 87 %, Pressure = 1087 hPa.
Temp = 31 ◦ C, Humidity = 87 %, Pressure = 979 hPa.
Temp = 19 ◦ C, Humidity = 87 %, Pressure = 979 hPa.
Temp = 19 ◦ C, Humidity = 41 %, Pressure = 979 hPa.
Temp = 34 ◦ C, Humidity = 41 %, Pressure = 979 hPa.
Temp = 37 ◦ C, Humidity = 41 %, Pressure = 979 hPa.
Temp = 37 ◦ C, Humidity = 21 %, Pressure = 979 hPa.
Temp = 37 ◦ C, Humidity = 21 %, Pressure = 909 hPa.
Temp = 23 ◦ C, Humidity = 21 %, Pressure = 909 hPa.
Temp = 24 ◦ C, Humidity = 21 %, Pressure = 909 hPa.
Temp = 24 ◦ C, Humidity = 43 %, Pressure = 909 hPa.
